,Unnamed: 0,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed,Hotel Name
0,5,hermanus,0.0,ZA,2019-09-26 15:33:27,55.0,-34.42,19.24,70.69,4.25,Windsor Hotel
1,70,sabzevar,0.0,IR,2019-09-26 15:36:32,13.0,36.21,57.68,73.39,7.07,Sabzevar Tourism hotel
2,78,ravar,0.0,IR,2019-09-26 15:36:33,15.0,31.27,56.81,75.91,7.67,Hotel sperlous
3,80,kruisfontein,0.0,ZA,2019-09-26 15:31:49,28.0,-34.0,24.73,79.87,4.21,Humansdorp Boutique Hotel
4,128,carnarvon,0.0,ZA,2019-09-26 15:33:48,8.0,-30.97,22.13,76.45,8.5,Lord Carnarvon Guesthouse
5,149,saldanha,0.0,PT,2019-09-26 15:33:41,27.0,41.42,-6.55,75.91,2.1,
6,153,lagoa,0.0,PT,2019-09-26 15:33:16,60.0,37.14,-8.45,79.0,8.05,Colina Hotels & Resorts
7,155,bafq,0.0,IR,2019-09-26 15:36:40,15.0,31.6,55.4,76.27,4.32,Nikan Hotel
8,177,esfarayen,0.0,IR,2019-09-26 15:36:42,19.0,37.08,57.51,78.8,9.17,مهمانپذیر آفتاب
9,299,zhuji,0.0,CN,2019-09-26 15:36:55,77.0,29.72,120.23,73.99,4.47,Howard Johnson Tongfang Plaza Zhuji
10,434,tiarei,0.0,PF,2019-09-26 15:37:11,78.0,-17.53,-149.33,75.2,4.7,Le Rocher de Tahiti
11,449,gazli,0.0,UZ,2019-09-26 15:37:13,15.0,40.13,63.45,77.53,8.9,
12,502,san patricio,0.0,PY,2019-09-26 15:33:50,35.0,-26.98,-56.83,78.43,5.46,
13,532,tautira,0.0,PF,2019-09-26 15:37:24,78.0,-17.73,-149.15,75.2,4.7,
14,583,la rioja,0.0,AR,2019-09-26 15:35:22,26.0,-29.41,-66.86,73.03,7.56,Plaza Hotel
